Type,Start,End
gene,5011799,5017145
transcript,5011799,5017145
exon,5011799,5011874
CDS,5011799,5011874
exon,5012548,5012687
CDS,5012548,5012687
exon,5014386,5014471
CDS,5014386,5014471
exon,5016935,5017145
CDS,5016935,5017097
stop_codon,5017098,5017100
UTR,5017098,5017145
gene,5022493,5040666
transcript,5022493,5040661
exon,5022493,5022693
UTR,5022493,5022679
transcript,5022493,5040666
exon,5022493,5022693
UTR,5022493,5022679
transcript,5022531,5036771
exon,5022531,5022693
UTR,5022531,5022679
transcript,5022533,5036125
exon,5022533,5022693
UTR,5022533,5022679
CDS,5022680,5022693
start_codon,5022680,5022682
CDS,5022680,5022693
start_codon,5022680,5022682
CDS,5022680,5022693
start_codon,5022680,5022682
CDS,5022680,5022693
start_codon,5022680,5022682
exon,5025009,5025049
CDS,5025009,5025049
exon,5025009,5025049
CDS,5025009,5025049
exon,5025009,5025049
CDS,5025009,5025049
exon,5025009,5025049
CDS,5025009,5025049
exon,5026280,5026630
CDS,5026280,5026630
exon,5026280,5026630
CDS,5026280,5026630
exon,5027935,5028225
CDS,5027935,5028225
exon,5027935,5028225
CDS,5027935,5028225
exon,5027935,5028225
CDS,5027935,5028225
exon,5027935,5028225
CDS,5027935,5028225
exon,5032053,5032217
CDS,5032053,5032217
exon,5032053,5032217
CDS,5032053,5032217
exon,5032053,5032217
CDS,5032053,5032217
exon,5032053,5032217
CDS,5032053,5032217
exon,5033408,5033443
CDS,5033408,5033443
exon,5033408,5033443
CDS,5033408,5033443
exon,5033408,5033443
CDS,5033408,5033443
exon,5033408,5033443
CDS,5033408,5033443
exon,5034582,5036771
CDS,5034582,5034589
exon,5034582,5036125
CDS,5034582,5034589
stop_codon,5034590,5034592
UTR,5034590,5036771
stop_codon,5034590,5034592
UTR,5034590,5036125
exon,5040585,5040661
CDS,5040585,5040613
exon,5040585,5040666
CDS,5040585,5040613
stop_codon,5040614,5040616
UTR,5040614,5040661
stop_codon,5040614,5040616
UTR,5040614,5040666
gene,5073458,5087867
transcript,5073458,5087867
exon,5073458,5073685
gene,5079294,5128413
exon,5087617,5087867
transcript,5116341,5127143
exon,5116341,5117231
UTR,5116341,5117105
transcript,5116341,5128369
exon,5116341,5117231
UTR,5116341,5117105
gene,5116343,5133805
transcript,5116343,5133805
exon,5116343,5117231
UTR,5116343,5117105
transcript,5116937,5128372
exon,5116937,5117231
UTR,5116937,5117105
stop_codon,5117103,5117105
stop_codon,5117103,5117105
stop_codon,5117103,5117105
stop_codon,5117103,5117105
CDS,5117106,5117231
CDS,5117106,5117231
CDS,5117106,5117231
CDS,5117106,5117231
exon,5118691,5118847
CDS,5118691,5118847
exon,5118691,5118847
CDS,5118691,5118847
exon,5118691,5118847
CDS,5118691,5118847
exon,5118691,5118847
CDS,5118691,5118847
exon,5121711,5121803
CDS,5121711,5121803
exon,5121711,5121803
CDS,5121711,5121803
exon,5121711,5121803
CDS,5121711,5121803
exon,5124756,5124875
CDS,5124756,5124875
exon,5124756,5124875
CDS,5124756,5124875
exon,5124756,5124875
CDS,5124756,5124875
exon,5124756,5124875
CDS,5124756,5124875
exon,5125879,5125992
CDS,5125879,5125928
exon,5125879,5125992
CDS,5125879,5125992
exon,5125879,5125992
CDS,5125879,5125992
exon,5125879,5125992
CDS,5125879,5125992
start_codon,5125926,5125928
UTR,5125929,5125992
exon,5127084,5127143
UTR,5127084,5127143
exon,5127898,5127950
CDS,5127898,5127950
exon,5127898,5127950
CDS,5127898,5127950
exon,5128214,5128369
CDS,5128214,5128354
exon,5128214,5128372
CDS,5128214,5128354
start_codon,5128352,5128354
start_codon,5128352,5128354
UTR,5128355,5128369
UTR,5128355,5128372
gene,5130871,5154658
transcript,5130871,5154658
exon,5130871,5131455
UTR,5130871,5131283
stop_codon,5131281,5131283
CDS,5131284,5131455
exon,5133426,5133500
CDS,5133426,5133500
exon,5133426,5133500
CDS,5133426,5133500
exon,5133655,5133805
CDS,5133655,5133805
exon,5133655,5133805
CDS,5133655,5133805
exon,5133902,5134120
CDS,5133902,5134120
exon,5135089,5135154
CDS,5135089,5135154
exon,5135935,5136043
CDS,5135935,5136043
exon,5137327,5137474
CDS,5137327,5137474
exon,5139698,5139878
CDS,5139698,5139878
exon,5140953,5141103
CDS,5140953,5141103
exon,5141277,5141424
CDS,5141277,5141424
exon,5141559,5141707
CDS,5141559,5141707
exon,5142532,5142668
CDS,5142532,5142668
exon,5143222,5143292
CDS,5143222,5143292
exon,5144091,5144234
CDS,5144091,5144234
exon,5146137,5146366
CDS,5146137,5146366
exon,5146658,5146793
CDS,5146658,5146793
exon,5147289,5147432
CDS,5147289,5147432
exon,5147779,5147878
CDS,5147779,5147878
exon,5148210,5148304
CDS,5148210,5148304
